,LOCAL_RECENT_PC1,LOCAL_RECENT_PC2,LOCAL_RECENT_PC3,LOCAL_RECENT_PC4,LOCAL_RECENT_PC5
LOCAL__ICE_TRI__GDGE,-0.044905285881995424,-0.09609341614924484,-0.14754646215174744,-0.3930173481063418,0.4356313406988974
LOCAL__ICE_TRI__GAGE,0.32630165229127517,0.05171664533554023,0.0968057188229346,0.0017349481089793204,0.11538653815888748
LOCAL__BOND_YLD_BPS_CHG__Georgia__XS3262542155__mat2031,0.05182552453125959,0.052680288116044256,0.1678730358827328,0.5609579845823535,-0.0274857059108532
LOCAL__BOND_YLD_BPS_CHG__Georgia__XS2334109423__mat2026,0.01932515953919324,0.058363958951365875,-0.04576012568747997,0.057065751083465295,0.2558249015701477
LOCAL__BOND_YLD_BPS_CHG__TBC_Bank__XS2808539410__mat2029,0.006686022493020625,0.06424741173555978,0.3308330059063472,0.14507370200267136,0.2958610886244994
LOCAL__BOND_YLD_BPS_CHG__Bank_of_Georgia__XS2801343414__mat2029,-0.03327494963970922,-0.0034550258684546997,0.3262615394529682,0.3902004386645906,-0.03191362401800209
LOCAL__ICE_TRI__G4GE,0.3355568991983973,0.027884559253139662,-0.002221175162115494,-0.1524774926015884,-0.08898258369824741
LOCAL__ICE_TRI__G3GE,0.3666758242511809,0.03341679607842619,-0.009044332213755871,-0.08474451976839725,-0.07352708421499066
LOCAL__ICE_TRI__G2GE,0.3723755649540274,0.03678179206033354,-0.0017636231018845353,-0.04484540160547027,-0.05296097152755466
LOCAL__ICE_TRI__G1GE,0.366919019447094,0.05368697182281463,0.02559907822822697,-0.014123972745683062,0.010930586692620153
LOCAL__ICE_TRI__GJGE,0.3730420697522375,0.006913895118840803,0.005895922946634536,-0.0716520072900642,-0.04166566134812605
LOCAL__FX_GEL__USDGEL,-0.03968348206734084,0.4612162979222461,0.13318706662847904,-0.08112071216853341,-0.11109047788551277
LOCAL__TIBR_BPS_CHG__TIBR3M,0.0005991010825196187,-0.13474331927207342,0.45946740863544616,-0.21075356568750453,0.15777352623281424
LOCAL__TIBR_BPS_CHG__TIBR1M,-0.1395942644505095,-0.17349757195975007,0.17960849935444587,-0.2825008268205249,-0.34186766857972456
LOCAL__TIBR_BPS_CHG__TIBR,-0.19838880546361867,-0.09663084658090927,0.17816338526220418,-0.23578131799444205,-0.3548449136197216
LOCAL__FX_GEL__AZNGEL,-0.03968348206733893,0.46121629792224644,0.13318706662847882,-0.08112071216853826,-0.11109047788551388
LOCAL__FX_GEL__AMDGEL,-0.05988855318076292,0.43359006247197646,0.09991434799639143,-0.1268046386849827,-0.107550088976357
LOCAL__FX_GEL__TRYGEL,-0.052115608311767134,0.4320448863690673,0.03542858442128492,-0.10096300701756872,-0.05994658996677718
LOCAL__FX_GEL__RUBGEL,-0.05182258707863031,0.11224471574190331,-0.034796387693554594,-0.032836345055971945,0.4101372192585113
LOCAL__FX_GEL__GBPGEL,-0.1028091228379942,0.17335248178833182,-0.3978136185625148,-0.100672069013104,0.020714702128712188
LOCAL__FX_GEL__EURGEL,-0.08745699364093262,0.20436835056710442,0.16774714574884977,-0.09617990392584934,0.37382536530690114
LOCAL__TIBR_BPS_CHG__TIBR6M,0.01168535944990667,-0.17159658729092983,0.460942520739431,-0.26654371266097915,0.07696496516945027
LOCAL__ICE_TRI__G0GE,0.37210016134169666,0.005696894292607778,0.0023300149051979444,-0.07593215922252854,-0.048356182645761234
