PC,explained_variance,explained_variance_ratio,cumulative_variance_ratio,block,n_features,pca_start,pca_end
LOCAL_CURRENCY_PC1,3.999504487495761,0.5710833565581637,0.5710833565581637,LOCAL_CURRENCY,7,2018-01-02,2025-12-31
LOCAL_CURRENCY_PC2,0.9688281812741174,0.1383375494189267,0.7094209059770904,LOCAL_CURRENCY,7,2018-01-02,2025-12-31
LOCAL_CURRENCY_PC3,0.7466729823306125,0.1066163356820368,0.8160372416591272,LOCAL_CURRENCY,7,2018-01-02,2025-12-31
LOCAL_CURRENCY_PC4,0.5111544542137608,0.07298699184978977,0.8890242335089169,LOCAL_CURRENCY,7,2018-01-02,2025-12-31
LOCAL_CURRENCY_PC5,0.44226230448706433,0.06314998323298893,0.9521742167419058,LOCAL_CURRENCY,7,2018-01-02,2025-12-31
LOCAL_RATES_PC1,2.3137303647308713,0.5781057931086031,0.5781057931086031,LOCAL_RATES,4,2019-03-14,2025-12-31
LOCAL_RATES_PC2,0.9999420039073665,0.24984426623052697,0.82795005933913,LOCAL_RATES,4,2019-03-14,2025-12-31
LOCAL_RATES_PC3,0.5120939332911874,0.127951153671202,0.955901213010332,LOCAL_RATES,4,2019-03-14,2025-12-31
LOCAL_RATES_PC4,0.17649486257029334,0.04409878698966791,1.0,LOCAL_RATES,4,2019-03-14,2025-12-31
LOCAL_EQUITY_VOLUME_PC1,1.3160306848222663,0.4384240552318558,0.4384240552318558,LOCAL_EQUITY_VOLUME,3,2018-05-29,2025-12-30
LOCAL_EQUITY_VOLUME_PC2,0.9530505829923762,0.3175004247663362,0.755924479998192,LOCAL_EQUITY_VOLUME,3,2018-05-29,2025-12-30
LOCAL_EQUITY_VOLUME_PC3,0.7326488359915861,0.24407552000180793,1.0,LOCAL_EQUITY_VOLUME,3,2018-05-29,2025-12-30
REGIONAL_ICE_INDICES_PC1,1.9749363076786897,0.6579898744134254,0.6579898744134254,REGIONAL_ICE_INDICES,3,2018-01-03,2025-12-31
REGIONAL_ICE_INDICES_PC2,0.6572242742471142,0.2189675261890369,0.8769574006024623,REGIONAL_ICE_INDICES,3,2018-01-03,2025-12-31
REGIONAL_ICE_INDICES_PC3,0.3693085659684179,0.12304259939753781,1.0,REGIONAL_ICE_INDICES,3,2018-01-03,2025-12-31
REGIONAL_BOND_YIELDS_EX_RUSSIA_PC1,3.200968730201284,0.4569228762882485,0.4569228762882485,REGIONAL_BOND_YIELDS_EX_RUSSIA,7,2021-02-01,2025-12-30
REGIONAL_BOND_YIELDS_EX_RUSSIA_PC2,1.6392865872972366,0.23400026856291717,0.6909231448511657,REGIONAL_BOND_YIELDS_EX_RUSSIA,7,2021-02-01,2025-12-30
REGIONAL_BOND_YIELDS_EX_RUSSIA_PC3,0.6572759296781693,0.09382297473574402,0.7847461195869097,REGIONAL_BOND_YIELDS_EX_RUSSIA,7,2021-02-01,2025-12-30
REGIONAL_BOND_YIELDS_EX_RUSSIA_PC4,0.5493233854161667,0.07841326874223156,0.8631593883291412,REGIONAL_BOND_YIELDS_EX_RUSSIA,7,2021-02-01,2025-12-30
REGIONAL_BOND_YIELDS_EX_RUSSIA_PC5,0.39729934234693826,0.0567125684608538,0.919871956789995,REGIONAL_BOND_YIELDS_EX_RUSSIA,7,2021-02-01,2025-12-30
RUSSIA_CREDIT_PC1,1.4590179300141757,0.729158070844026,0.729158070844026,RUSSIA_CREDIT,2,2018-01-02,2025-12-30
RUSSIA_CREDIT_PC2,0.5419445338934259,0.27084192915597405,1.0,RUSSIA_CREDIT,2,2018-01-02,2025-12-30
REGIONAL_EQUITY_PC1,1.883185173318919,0.37645526003315444,0.37645526003315444,REGIONAL_EQUITY,5,2018-01-04,2025-12-31
REGIONAL_EQUITY_PC2,1.0811221865284237,0.21612008188227458,0.592575341915429,REGIONAL_EQUITY,5,2018-01-04,2025-12-31
REGIONAL_EQUITY_PC3,0.9688966006034776,0.19368579728279936,0.7862611391982284,REGIONAL_EQUITY,5,2018-01-04,2025-12-31
REGIONAL_EQUITY_PC4,0.8084517379344531,0.16161231170485055,0.947873450903079,REGIONAL_EQUITY,5,2018-01-04,2025-12-31
REGIONAL_EQUITY_PC5,0.26075859422699277,0.05212654909692102,1.0,REGIONAL_EQUITY,5,2018-01-04,2025-12-31
REGIONAL_MARKET_VOLUME_PC1,1.6766063462524685,0.3351280005074098,0.3351280005074098,REGIONAL_MARKET_VOLUME,5,2018-05-29,2025-12-30
REGIONAL_MARKET_VOLUME_PC2,1.0925172116373538,0.2183775037439967,0.5535055042514065,REGIONAL_MARKET_VOLUME,5,2018-05-29,2025-12-30
REGIONAL_MARKET_VOLUME_PC3,0.961986116834985,0.1922863315956039,0.7457918358470105,REGIONAL_MARKET_VOLUME,5,2018-05-29,2025-12-30
REGIONAL_MARKET_VOLUME_PC4,0.9142427579878104,0.1827431633833848,0.9285349992303953,REGIONAL_MARKET_VOLUME,5,2018-05-29,2025-12-30
REGIONAL_MARKET_VOLUME_PC5,0.3575310736310966,0.07146500076960478,1.0,REGIONAL_MARKET_VOLUME,5,2018-05-29,2025-12-30
GLOBAL_EQUITY_RISK_PC1,2.9709108090818104,0.7423694158728303,0.7423694158728303,GLOBAL_EQUITY_RISK,4,2018-01-03,2025-12-31
GLOBAL_EQUITY_RISK_PC2,0.5547355858132326,0.13861699635854047,0.8809864122313709,GLOBAL_EQUITY_RISK,4,2018-01-03,2025-12-31
GLOBAL_EQUITY_RISK_PC3,0.3659416722280502,0.09144128616214661,0.9724276983935175,GLOBAL_EQUITY_RISK,4,2018-01-03,2025-12-31
GLOBAL_EQUITY_RISK_PC4,0.11034243480740992,0.02757230160648255,1.0,GLOBAL_EQUITY_RISK,4,2018-01-03,2025-12-31
GLOBAL_EQUITY_VOLUME_PC1,1.3489268145727968,0.33703733378519163,0.33703733378519163,GLOBAL_EQUITY_VOLUME,4,2018-05-29,2025-12-30
GLOBAL_EQUITY_VOLUME_PC2,0.9912842567395957,0.24767822783666557,0.5847155616218572,GLOBAL_EQUITY_VOLUME,4,2018-05-29,2025-12-30
GLOBAL_EQUITY_VOLUME_PC3,0.919706363669826,0.22979406838666835,0.8145096300085256,GLOBAL_EQUITY_VOLUME,4,2018-05-29,2025-12-30
GLOBAL_EQUITY_VOLUME_PC4,0.7423893700927529,0.18549036999147456,1.0000000000000002,GLOBAL_EQUITY_VOLUME,4,2018-05-29,2025-12-30
GLOBAL_RATES_PC1,2.0625150238686203,0.6871746355352765,0.6871746355352765,GLOBAL_RATES,3,2018-01-03,2025-12-31
GLOBAL_RATES_PC2,0.8888116464077461,0.2961281794855217,0.9833028150207982,GLOBAL_RATES,3,2018-01-03,2025-12-31
GLOBAL_RATES_PC3,0.05011563741594098,0.01669718497920187,1.0,GLOBAL_RATES,3,2018-01-03,2025-12-31
COMMODITIES_PC1,1.480833667776845,0.49337402354250165,0.49337402354250165,COMMODITIES,3,2018-01-03,2025-12-31
COMMODITIES_PC2,0.8900822479252223,0.29655150980049055,0.7899255333429922,COMMODITIES,3,2018-01-03,2025-12-31
COMMODITIES_PC3,0.6305263919902405,0.2100744666570079,1.0,COMMODITIES,3,2018-01-03,2025-12-31
COMMODITY_VOLUME_PC1,1.4761865510178802,0.4917785743448615,0.4917785743448615,COMMODITY_VOLUME,3,2018-05-29,2025-12-30
COMMODITY_VOLUME_PC2,0.822907122437167,0.27414427479462966,0.7659228491394912,COMMODITY_VOLUME,3,2018-05-29,2025-12-30
COMMODITY_VOLUME_PC3,0.7026364303511815,0.23407715086050884,1.0,COMMODITY_VOLUME,3,2018-05-29,2025-12-30
CRYPTO_PC1,1.81449351323751,0.9068109992908883,0.9068109992908883,CRYPTO,2,2018-01-02,2025-12-31
CRYPTO_PC2,0.18646756316806407,0.09318900070911175,1.0,CRYPTO,2,2018-01-02,2025-12-31
CRYPTO_VOLUME_PC1,1.8307053996621725,0.9148251190242672,0.9148251190242672,CRYPTO_VOLUME,2,2018-05-29,2025-12-30
CRYPTO_VOLUME_PC2,0.17044800287531292,0.08517488097573274,1.0,CRYPTO_VOLUME,2,2018-05-29,2025-12-30
