factor,average_absolute_contribution,share_of_total_impact
Global equities,0.09203402849390648,0.15873843380617073
Commodities,0.07180751580344964,0.12385215317295543
Commodity volume,0.049576879179826,0.08550920005120047
Global equity volume,0.04900456794310423,0.08452208918738664
Regional market volume,0.04565101646269343,0.07873795131577298
Local currency,0.042918048012363146,0.07402418252235511
Local equity volume,0.041816462936211635,0.07212419082847724
Regional ICE bond indices,0.04085340694900193,0.07046313130974231
Regional bond yields ex Russia,0.033137651871016374,0.05715515276360567
Crypto volume,0.0329949271149761,0.0569089839865788
Regional equities,0.025782795801493813,0.04446964553925203
Crypto,0.0241173861368521,0.0415971805810503
US Treasury rates,0.013332878932532622,0.022996280337958325
Russia credit,0.011919255675434396,0.020558091490899356
Local interest rates,0.004837332323714959,0.008343333106594561
