Date,G4GE
12/31/2025,89.78
1/2/2026,89.78
1/5/2026,89.89
1/6/2026,89.95
1/7/2026,89.95
1/8/2026,89.67
1/9/2026,89.71
1/12/2026,90.35
1/13/2026,90.3
1/14/2026,90.3
1/15/2026,91
1/16/2026,90.36
1/19/2026,90.36
1/20/2026,90.41
1/21/2026,90.36
1/22/2026,91.01
1/23/2026,90.42
1/26/2026,90.42
1/27/2026,91.07
1/28/2026,90.64
1/29/2026,90.64
1/30/2026,90.65
1/31/2026,90.65
2/2/2026,90.65
2/3/2026,91.34
2/4/2026,91.24
2/5/2026,91.24
2/6/2026,91.25
2/9/2026,91.25
2/10/2026,91.25
2/11/2026,91.9
2/12/2026,91.9
2/13/2026,91.96
2/16/2026,91.96
2/17/2026,92.07
2/18/2026,92.18
2/19/2026,92.18
2/20/2026,92.24
2/23/2026,92.24
2/24/2026,92.24
2/25/2026,92.25
2/26/2026,92.79
2/27/2026,92.85
2/28/2026,92.85
3/2/2026,92.85
3/3/2026,92.85
3/4/2026,92.86
3/5/2026,92.78
3/6/2026,92.79
3/9/2026,92.79
3/10/2026,92.78
3/11/2026,92.78
3/12/2026,93.08
3/13/2026,93.09
3/16/2026,93.11
3/17/2026,93.15
3/18/2026,93.59
3/19/2026,93.59
3/20/2026,93.59
3/23/2026,93.67
3/24/2026,93.74
3/25/2026,93.96
3/26/2026,93.99
3/27/2026,94.03
3/30/2026,94.03
3/31/2026,94.04
4/1/2026,94.03
4/2/2026,94.02
4/3/2026,94.01
4/6/2026,93.99
4/7/2026,94.02
4/8/2026,93.41
4/9/2026,93.41
4/10/2026,93.41
4/13/2026,93.42
4/14/2026,93.4
4/15/2026,93.99
4/16/2026,94
4/17/2026,94
4/20/2026,94.01
4/21/2026,94.05
4/22/2026,94.33
4/23/2026,94.36
4/24/2026,94.39
4/27/2026,94.41
4/28/2026,94.44
4/29/2026,94.55
4/30/2026,94.58
5/1/2026,94.61
5/4/2026,94.61
5/5/2026,94.61
5/6/2026,94.61
5/7/2026,94.07
5/8/2026,94.05
