Date,G2GE
12/31/2025,100
1/2/2026,100.048
1/5/2026,100.217
1/6/2026,100.273
1/7/2026,100.296
1/8/2026,100.001
1/9/2026,99.994
1/12/2026,100.067
1/13/2026,100.059
1/14/2026,100.482
1/15/2026,100.52
1/16/2026,100.561
1/19/2026,100.634
1/20/2026,100.69
1/21/2026,100.713
1/22/2026,100.737
1/23/2026,100.793
1/26/2026,100.848
1/27/2026,100.858
1/28/2026,101.039
1/29/2026,101.077
1/30/2026,101.119
1/31/2026,101.143
2/2/2026,101.192
2/3/2026,101.247
2/4/2026,101.207
2/5/2026,101.231
2/6/2026,101.255
2/9/2026,101.328
2/10/2026,101.352
2/11/2026,101.721
2/12/2026,101.776
2/13/2026,101.8
2/16/2026,101.904
2/17/2026,101.96
2/18/2026,102.062
2/19/2026,102.086
2/20/2026,102.141
2/23/2026,102.214
2/24/2026,102.238
2/25/2026,102.291
2/26/2026,102.704
2/27/2026,102.759
2/28/2026,102.783
3/2/2026,102.829
3/3/2026,102.853
3/4/2026,102.878
3/5/2026,102.838
3/6/2026,102.873
3/9/2026,102.945
3/10/2026,102.963
3/11/2026,102.986
3/12/2026,103.131
3/13/2026,103.16
3/16/2026,103.244
3/17/2026,103.293
3/18/2026,103.583
3/19/2026,103.615
3/20/2026,103.639
3/23/2026,103.75
3/24/2026,103.808
3/25/2026,103.983
3/26/2026,104.032
3/27/2026,104.078
3/30/2026,104.15
3/31/2026,104.182
4/1/2026,104.198
4/2/2026,104.218
4/3/2026,104.232
4/6/2026,104.31
4/7/2026,104.328
4/8/2026,103.872
4/9/2026,103.895
4/10/2026,103.923
4/13/2026,103.997
4/14/2026,104.004
4/15/2026,104.264
4/16/2026,104.281
4/17/2026,104.305
4/20/2026,104.38
4/21/2026,104.425
4/22/2026,104.609
4/23/2026,104.65
4/24/2026,104.69
4/27/2026,104.771
4/28/2026,104.807
4/29/2026,104.897
4/30/2026,104.938
5/1/2026,104.964
5/4/2026,105.04
5/5/2026,105.058
5/6/2026,105.079
5/7/2026,104.691
5/8/2026,104.701
