factor_name,standardized_difference,t_stat
REGIONAL_ICE_INDICES_PC1,0.3552043010977193,3.219151028619615
GLOBAL_EQUITY_RISK_PC1,0.3496304711767574,3.1599496796799555
COMMODITIES_PC2,-0.3142834228642588,-2.858652940356442
GLOBAL_EQUITY_RISK_PC2,0.23660092735612231,2.1436503142639554
REGIONAL_EQUITY_PC1,0.2094571221463825,1.9195157514951113
GLOBAL_RATES_PC2,0.15464111849773057,1.407077645932084
LOCAL_RATES_PC2,0.15315902947849752,1.3509734072058714
COMMODITY_VOLUME_PC2,-0.14228492113619953,-1.2901121162101747
COMMODITIES_PC1,0.13614922174244345,1.2611882489150907
CRYPTO_PC1,0.13300429221597942,1.2283010194411539
LOCAL_CURRENCY_PC3,-0.13286077871760074,-1.229765995564768
COMMODITY_VOLUME_PC1,0.132639045818394,1.2083803558806652
