Factor,AAZ Volume,AAZ: Anglo Asian Mining,AKBNK Volume,AKBNK: Akbank T.A.S. (Türkiye),AMDGEL,AZNGEL,Armenia XS2010028939 mat2031,Armenia XS2010043904 mat2029,Azerbaijan 2032 Bond Yield,Azerbaijan XS1678623064 mat2029,BGEO Volume,BIST 100: Türkiye Index,BIST Volume,Bitcoin (BTC),Bitcoin Volume,Brent Crude Oil,Brent Volume,CGEO Volume,Copper Spot Price,Copper Volume,EEM Volume,EEM: iShares Emerging Markets ETF,EUFN Volume,EUFN: iShares Europe Financials ETF,EURGEL,Ethereum (ETH),Ethereum Volume,FTSE 250 Volume,FTSE 250: UK Mid-Cap Index,GBPGEL,Gold Spot Price,Gold Volume,HSBK,ICE Armenia Govt Bond Index,ICE Azerbaijan Govt Bond Index,ICE Türkiye Govt Bond Index,IXG Volume,IXG: iShares Global Financials ETF,MOEX Volume,MOEX: Russia Index,RUBGEL,Russia 2028 Bond Yield,Russia 2042 Bond Yield,Russia RU000A0JXU14 mat2047,TBCG Volume,TIBR: 1-Month Rate,TIBR: 3-Month Rate,TIBR: 6-Month Rate,TIBR: Overnight Rate,TRYGEL,Türkiye 2036 Bond Yield,Türkiye 2038 Bond Yield,Türkiye 2043 Bond Yield,US 10Y Treasury Yield,US 2Y Treasury Yield,US 5Y Treasury Yield,USDGEL
Global equities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12174107977262259,0.0,0.14834548358960342,0.0,0.0,0.0,0.0,0.10180075888787218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14695587005044863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US Treasury rates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05865042901782175,0.01337066921584748,0.060085176357352124,0.0
Regional equities,0.0,0.006806345797629119,0.0,0.07191656114902496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742802226321616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01261478391083917,0.0,0.0,0.0,0.0,0.0,0.0,0.014703912544352984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regional ICE bond indices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00435012827488998,0.004749802053535316,0.0029839737234975197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Local currency,0.0,0.0,0.0,0.0,0.005259489201639041,0.005352593426865949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004285534047985762,0.0,0.0,0.0,0.0,0.003951806227193644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004620202475221145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016643302382232526,0.0,0.0,0.0,0.0,0.0,0.0,0.006003679119371029
Commodities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00536485460864272,0.0,0.0,0.012252951668113127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009197625585714382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crypto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01589711332300114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015897113323001134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commodity volumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010846038124058252,0.0,0.0,0.015563017654788333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014709048329466764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crypto volumes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012320516910667411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012320516910667411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
